team_no	utterance_no	start	end	interlocutor	utterance
20	0	41.587	42.194	A	okay .
20	1	43.838	47.343	A	so i guess we have to connect all these with the .
20	2	47.774	49.958	B	um do we, how many .
20	3	51.957	52.982	A	oh .
20	4	56.606	57.024	R	i see .
20	5	57.510	59.302	B	so we haven't even done anything .
20	6	60.152	61.230	B	have you done anything ?
20	7	61.756	62.201	A	no .
20	8	63.162	67.225	B	so , how many ten circles and zero .
20	9	67.832	68.856	B	minuses .
20	10	77.274	78.056	B	i'm just gonna .
20	11	79.054	79.472	A	uh
20	12	80.065	80.402	A	uh
20	13	80.590	81.332	B	oh there .
20	14	81.143	82.410	A	oh two three .
20	15	82.505	84.857	B	oh that's what you've been doing this all time .
20	16	85.708	86.746	B	uh
20	17	87.072	89.525	B	what we can't block the roads , right ?
20	18	90.124	90.974	A	yeah i think .
20	19	94.117	94.967	A	um
20	20	95.522	96.924	B	i'm gonna try to do another one .
20	21	99.437	100.381	B	i don't want to .
20	22	101.500	102.781	B	i don't want an eraser .
20	23	106.536	107.501	B	i got one .
20	24	109.953	114.393	A	oh that's what you've been oh that's why i'm in this position .
20	25	115.450	116.744	B	okay can you tell me ?
20	26	118.227	119.898	B	so , what can i do ?
20	27	121.915	123.950	A	let me see the information box .
20	28	124.642	126.637	A	you are number two i think .
20	29	127.603	128.506	A	abstract .
20	30	128.452	129.449	B	yeah , so .
20	31	129.665	131.741	A	uh no no you are in interactive view .
20	32	131.768	132.563	B	yeah i'm in the
20	33	132.038	134.923	A	in this view you can interact and build tracks .
20	34	135.131	137.409	A	click , drag and release to build a track .
20	35	137.698	140.030	A	a brief press on the track will remove it .
20	36	144.175	145.186	B	i'm confused .
20	37	148.104	149.331	A	oh okay my turn .
20	38	152.250	153.908	B	okay so um .
20	39	157.218	159.402	A	oh we , oh wait oh wait .
20	40	159.361	160.480	B	let me see this .
20	41	160.901	161.400	B	we've got
20	42	161.899	163.611	A	oh it's your turn .
20	43	163.467	164.613	B	um that was quick .
20	44	165.439	169.119	B	oh six , you can't block the streets remember.
20	45	169.017	170.419	A	yeah we can't block them .
20	46	170.271	172.077	B	i'm blocking a school .
20	47	172.486	173.254	A	oh
20	48	173.780	175.451	A	oh good uh .
20	49	176.374	177.816	B	mountain basel okay .
20	50	178.504	180.162	A	i'm gonna
20	51	179.164	183.266	B	try um mount zurich from mount saint gallen .
20	52	183.554	184.040	A	okay .
20	53	184.673	189.545	A	no i think we should do this , mount bern and then go to mount saint gallen .
20	54	191.469	192.251	B	okay .
20	55	192.790	195.298	A	try to go to mount saint gallen .
20	56	194.543	196.592	B	oh i think we have to connect all of them .
20	57	196.730	197.269	A	oh .
20	58	197.916	199.551	B	okay i did some .
20	59	200.239	201.182	B	okay for me .
20	60	203.466	204.086	A	oh no .
20	61	204.656	206.112	B	i think we are doing terrible .
20	62	208.873	217.749	R	guys ...
20	63	214.069	215.484	B	you are making me hesitate .
20	64	217.958	218.659	A	okay .
20	65	218.673	219.535	B	okay .
20	66	220.348	221.993	B	thanks , robot .
20	67	221.386	222.249	A	i guess .
