team_no	utterance_no	start	end	interlocutor	utterance
18	0	54.952	56.204	R	...
18	1	69.605	95.076	I	...
18	2	125.988	133.363	A	so we need to use less francs ?
18	3	135.788	137.360	B	um
18	4	159.882	160.882	R	...
18	5	194.973	195.552	A	this .
18	6	197.559	202.571	A	mount interlaken costs 4 ?
18	7	206.243	207.585	B	yeah and
18	8	207.453	208.559	A	so .
18	9	211.808	213.012	B	yeah .
18	10	234.664	235.124	B	um
18	11	239.657	242.394	B	how do you do anything right now ?
18	12	244.881	245.420	I	what ?
18	13	245.762	248.091	B	how do i do anything ?
18	14	247.808	254.663	I	...
18	15	263.289	263.953	A	oh .
18	16	263.690	264.598	B	oh yeah .
18	17	265.433	266.183	B	um
18	18	269.565	272.881	I	...
18	19	287.342	288.974	B	i think so .
18	20	293.145	298.820	A	this costs 4 to mount basel .
18	21	303.426	303.899	B	yeah .
18	22	306.314	309.130	A	so i think we need to erase .
18	23	351.382	360.678	R	...
18	24	369.959	373.926	A	do you think this is good ?
18	25	375.097	375.880	B	um
18	26	379.466	381.380	B	yeah .
18	27	433.045	435.887	B	um do we press the finish button ?
18	28	437.315	445.522	R	....
18	29	446.333	455.957	R	...
18	30	536.131	591.571	I	...
18	31	595.216	599.190	B	do i press this or
18	32	596.558	599.492	I	...
18	33	600.479	608.887	R	...
18	34	613.243	615.085	A	so
18	35	616.875	620.901	B	oh what do i do here ?
18	36	620.703	630.939	I	...
18	37	631.597	634.386	B	like how
18	38	633.124	637.750	I	...
18	39	639.335	646.085	I	...
18	40	648.650	657.571	I	...
18	41	665.058	668.966	I	...
18	42	672.374	673.435	B	build what ?
18	43	673.519	675.782	I	...
18	44	676.414	686.360	B	um mount montreux and mount interlaken
18	45	685.518	687.110	A	okay .
18	46	688.590	692.471	A	and what what is the next one ?
18	47	692.340	697.431	B	and then mount neuchatel .
18	48	706.037	708.629	A	like to the
18	49	744.014	744.830	A	so
18	50	744.580	747.632	B	um wait which one are you on ?
18	51	747.895	755.578	A	you need to do it like cost less , cost less .
18	52	762.514	766.356	B	um so
18	53	768.948	773.079	B	from mount bern to mount zurich , zurich .
18	54	773.882	776.829	A	mount mount
18	55	777.211	780.986	B	um mount bern ?
18	56	781.948	787.487	B	did you connect mount neuchatel to mount basel ?
18	57	787.737	789.777	A	mount basel ?
18	58	790.250	792.382	B	mount basel its um
18	59	794.895	795.684	B	the
18	60	798.210	799.302	A	davos ?
18	61	799.816	800.500	B	what ?
18	62	801.225	802.357	A	which one ?
18	63	802.528	803.896	B	mount basel .
18	64	804.264	805.277	A	to
18	65	806.343	811.579	B	um have you connected mount neuchatel to mount basel ?
18	66	812.066	816.132	A	neuchatel ?
18	67	821.343	828.238	A	um to the mount , bern ?
18	68	829.053	834.434	B	mount bern yeah , no um no erase that one .
18	69	833.961	834.947	A	okay .
18	70	836.434	838.368	B	okay um .
18	71	847.948	849.158	B	okay so
18	72	854.882	855.711	B	have you
18	73	858.658	870.026	B	wait , did you , you know did you erase the one from mount neuchatel to mount bern okay so then you go
18	74	865.224	866.302	A	yes .
18	75	872.092	873.158	B	to
18	76	875.225	879.750	B	from mount zurich to mount saint gallen .
18	77	880.382	881.678	A	mount
18	78	881.461	882.704	B	saint gallen .
18	79	890.520	891.079	A	mount
18	80	891.777	893.158	A	luzern ?
18	81	894.869	895.540	B	um
18	82	896.158	899.842	B	you can go from mount bern to mount luzern .
18	83	899.967	902.244	A	mount bern to mount luzern .
18	84	901.803	907.020	B	and then from mount zurich you go to mount saint gallen .
18	85	913.777	914.783	A	mount
18	86	915.303	916.849	B	from mount zurich
18	87	917.007	917.974	A	to
18	88	919.007	921.448	B	you go to mount saint gallen .
18	89	919.027	920.882	A	oh to
18	90	926.376	929.027	B	okay and mount saint gallen .
18	91	939.271	941.040	B	and
18	92	943.856	953.756	A	i think we should erase the one that mount montreux to the mount interlaken .
18	93	950.804	951.711	B	mount
18	94	954.014	956.757	B	mount montreux what ?
18	95	957.829	960.480	B	mount montreux to mount what ?
18	96	961.034	963.409	A	interlaken .
18	97	964.685	965.731	A	i think we
18	98	965.001	967.724	B	and to mount interlaken ?
18	99	967.626	970.579	A	yes i think we should erase
18	100	968.981	970.520	B	right yeah okay .
18	101	970.928	972.691	B	so that
18	102	974.507	974.882	B	uh
18	103	975.218	978.856	B	okay so tell me what to do .
18	104	978.316	979.362	A	and
18	105	982.889	984.027	A	um
18	106	984.837	987.942	A	mount luzern
18	107	988.251	989.330	B	mount luzern .
18	108	990.566	993.636	A	to mount zermatt .
18	109	995.299	995.911	B	okay .
18	110	996.555	997.345	B	um
18	111	999.042	999.937	B	so
18	112	1001.279	1007.002	B	from mount zermatt we go to mount davos davos .
18	113	1007.168	1008.115	A	davos ?
18	114	1009.536	1013.207	B	and then from mount davos you go to mount zurich .
18	115	1017.352	1019.075	B	and
18	116	1017.977	1019.095	A	and its
18	117	1020.562	1024.055	A	mount montreux
18	118	1024.509	1025.266	B	mount
18	119	1026.029	1026.371	B	what ?
18	120	1026.430	1028.384	A	mountreux .
18	121	1031.753	1035.785	A	montreux to mount zermatt .
18	122	1036.168	1038.911	B	mount zermatt
18	123	1039.601	1042.114	B	but um it's only the eraser .
18	124	1042.391	1044.766	I	...
18	125	1045.141	1049.628	A	mount zermatt to the mount montreux .
18	126	1050.319	1051.279	B	oh here .
18	127	1053.812	1055.430	B	and then ?
18	128	1054.569	1063.121	A	and i think , we should erase the mount davos to the mount zurich .
18	129	1061.069	1062.957	B	mount davos
18	130	1069.497	1070.253	A	and
18	131	1070.885	1072.391	A	it's done .
