team_no	utterance_no	start	end	interlocutor	utterance
10	0	63.857	66.613	I	so now you guys can talk
10	1	65.774	66.433	B	okay .
10	2	65.954	66.463	A	okay .
10	3	66.493	67.002	B	ann .
10	4	67.332	68.021	A	yeah .
10	5	68.620	69.548	B	um
10	6	71.735	74.821	B	tracks , where do they go .
10	7	78.011	78.820	B	mount
10	8	80.048	81.786	A	maybe we should do mount
10	9	82.274	83.038	B	zermatt ?
10	10	83.382	86.168	A	gallen to mount davos ?
10	11	85.854	86.752	B	which one ?
10	12	87.202	87.771	A	the
10	13	89.269	90.182	B	say again ?
10	14	89.434	90.587	A	mount
10	15	91.197	91.886	A	gallen
10	16	92.680	94.282	B	okay well i'm trying to find it .
10	17	94.365	96.372	A	mount s t
10	18	96.840	98.427	B	gallen i found it yeah .
10	19	98.277	100.569	A	to down to mount davos .
10	20	100.636	101.205	B	okay .
10	21	101.385	103.302	B	well ann how do you make the tracks again ?
10	22	103.047	103.796	A	you pull
10	23	105.062	106.330	A	i think .
10	24	107.737	109.116	B	it's not working .
10	25	110.914	116.935	I	so if you guys want to see the instructions again can you please read the information from
10	26	116.187	117.834	B	information here okay found it .
10	27	116.816	117.969	A	information .
10	28	117.999	121.990	I	pay attention to the the top the top of the page
10	29	136.643	137.407	B	oh .
10	30	137.617	138.665	B	good .
10	31	138.188	140.420	A	click and drag to
10	32	139.836	142.848	B	click and drag to release okay , so mount
10	33	148.227	158.403	I	now i think you need to read it again ..
10	34	158.789	161.875	B	click drag and release to build a track .
10	35	160.961	161.934	R	i see
10	36	164.979	165.668	B	click
10	37	165.923	166.657	B	drag
10	38	167.325	168.972	I	and what about the other side
10	39	169.976	174.349	A	a brief press so you need to do it hard , harder than
10	40	175.888	181.715	I	now i just want you to pay attention to ...
10	41	182.091	184.808	A	in this view you can interact and build tracks .
10	42	184.808	186.935	A	in this view you can not build tracks .
10	43	191.005	193.589	I	and what is your view ....
10	44	193.915	196.210	B	oh , your friend's view your view .
10	45	194.337	195.229	A	mine is
10	46	199.032	200.725	B	okay we've got different ones .
