team_no	utterance_no	start	end	interlocutor	utterance
28	0	40.000	41.161	A	okay , so
28	1	40.580	45.036	B	so we have to connect all the places with tracks , with the least amount of money wasted .
28	2	45.752	46.342	B	okay
28	3	48.027	48.897	A	okay so
28	4	49.136	49.894	A	i think
28	5	51.312	55.941	A	just go , from mount saint gallen , to mount zurich .
28	6	55.197	55.969	R	i see .
28	7	57.159	57.968	B	okay .
28	8	58.431	59.750	B	how do i get off this screen ?
28	9	61.473	68.887	I	uh so you so i think you should read the information , can you see at the top ?
28	10	69.405	70.078	B	oh
28	11	71.014	73.843	I	and then you can see what you can do in each of them .
28	12	74.081	75.612	B	okay , so i have to tell him .
28	13	76.686	77.360	A	yeah tell me .
28	14	77.767	78.399	B	um
28	15	78.581	82.365	A	i think uh just , from mount zurich to saint gallen .
28	16	83.362	84.457	B	i can't see anything .
28	17	84.970	85.587	A	what ?
28	18	85.812	87.076	B	let me just check .
28	19	89.325	91.627	A	i think we go to mount zurich to saint gallen .
28	20	93.448	94.178	A	and then
28	21	94.711	95.975	A	from uh
28	22	97.632	99.303	A	mount zurich to mount bern .
28	23	101.085	102.447	B	uh now i'm on this screen .
28	24	102.723	107.721	A	yeah , and then you you build , uh mount bern to mount basel .
28	25	103.312	103.832	B	oh
28	26	108.042	110.045	B	okay mount , bern
28	27	110.494	111.196	A	to basel .
28	28	112.352	113.686	B	how much how much did that cost ?
28	29	113.812	114.135	A	3 .
28	30	114.571	115.048	B	3 ?
28	31	114.866	119.003	A	and then uh go from uh mount bern to luzern .
28	32	121.020	121.750	B	to what ?
28	33	121.834	122.663	A	luzern .
28	34	122.873	123.168	B	that
28	35	126.517	127.710	B	mount basel
28	36	129.577	130.349	A	mount basel
28	37	129.815	132.132	B	to uh mount luzern mount bern to
28	38	131.486	133.185	A	mount bern to luzern
28	39	132.368	132.789	B	yeah
28	40	133.155	134.053	B	i did that okay .
28	41	133.778	135.078	A	yeah , then my turn .
28	42	135.200	135.761	B	yeah .
28	43	137.222	138.373	B	okay , so
28	44	138.950	139.455	A	this
28	45	140.157	142.320	A	i'll build mount luzern to zermatt .
28	46	145.307	146.626	A	okay and saint gallen
28	47	147.144	148.323	A	to mount davos or
28	48	148.756	151.690	A	or luzern to mount davos
28	49	148.826	150.469	B	i think i think we should go um
28	50	151.217	154.095	B	mount basel to mount neuchatel .
28	51	154.393	154.955	A	basel ?
28	52	155.236	156.750	B	mount basel to neuchatel .
28	53	157.447	159.188	B	because i think that cheapest one is it .
28	54	158.739	159.329	A	okay .
28	55	160.014	160.871	B	okay .
28	56	160.281	161.137	R	i see .
28	57	161.582	164.123	B	and then , i think we should go mount neuchatel
28	58	168.332	169.497	B	no but i think just go .
28	59	170.185	171.477	B	which is more expensive ?
28	60	172.287	172.947	A	i don't know .
28	61	172.525	174.112	B	i think they are both the same .
28	62	174.936	178.438	B	yeah go bern to mount interlaken and then mount interlaken to mount montreux .
28	63	179.279	180.107	A	montreux
28	64	180.346	181.273	B	oh 4 4
28	65	181.315	182.382	A	yeah i know it's a 4
28	66	181.596	185.019	B	so and then , what's the quickest way to get to mount davos ?
28	67	185.660	186.306	A	i don't know .
28	68	185.885	187.200	B	i think from mount luzern .
28	69	187.537	188.464	A	yeah i think .
28	70	188.717	189.643	B	so i think you should do that .
28	71	190.694	199.843	R	guys do not hesitate to submit your solution . you can submit as many times you want .
28	72	195.757	196.697	B	okay , submit .
28	73	199.885	200.658	A	we can submit .
28	74	201.276	203.199	B	i submitted , waiting for your friend .
28	75	202.301	203.958	A	okay and uh
28	76	204.795	205.371	B	submit .
28	77	205.862	208.497	A	yeah and then, we can erase and , do again ?
28	78	208.699	211.170	I	yeah yeah yeah you can submit as many times as you want .
28	79	210.664	211.689	A	okay , so
28	80	212.125	215.424	A	we just erase all , i'll erase all okay .
28	81	214.986	218.043	I	no but you first have to submit it , you didn't submit .
28	82	217.537	218.871	A	oh you submitted already ?
28	83	218.776	220.728	I	you both have to submit together .
28	84	218.843	220.163	B	uh i have to go to mount
28	85	221.233	221.837	A	oh okay
28	86	221.837	225.455	B	okay mount davos submit i submitted , now waiting for your friend .
28	87	225.623	226.441	I	green check .
28	88	226.327	227.267	A	okay .
28	89	228.784	234.159	R	you are away from the minimum by 8 francs let's try again
28	90	234.594	235.310	A	okay .
28	91	235.465	244.772	R	by the way you guys now also have a button on the bottom of the screen in the abstract view for comparing solutions .
28	92	245.506	246.742	B	okay . so
28	93	247.242	248.422	A	oh yeah .
28	94	247.762	250.359	B	go in the abstract , oh you in the abstract tell me what to do .
28	95	253.686	254.247	B	okay .
28	96	254.641	255.160	A	from
28	97	255.703	258.035	B	i think we should go uh what
28	98	258.818	261.247	B	okay, i think we should go mount bern to
28	99	261.192	261.753	A	basel ?
