team_no	utterance_no	start	end	interlocutor	utterance
11	0	40.651	41.549	A	okay .
11	1	40.790	41.284	B	okay .
11	2	41.598	42.482	B	go to mount bern .
11	3	42.707	43.321	A	what ?
11	4	43.890	45.208	B	of you right now .
11	5	46.122	47.036	A	mount bern ?
11	6	47.545	48.069	B	yeah .
11	7	48.878	51.889	A	so mount bern to mount zurich ?
11	8	52.608	53.267	B	i don't know .
11	9	53.709	55.326	B	i can't do anything right now .
11	10	55.821	56.614	R	i see .
11	11	60.897	63.144	A	i just , so mount bern .
11	12	64.118	65.166	A	speak louder .
11	13	65.166	67.503	B	okay go , go from bern to basel .
11	14	67.533	68.327	A	basel .
11	15	72.698	73.777	A	got it , and then ?
11	16	73.897	76.578	B	okay , then from basel to interlaken .
11	17	77.920	78.894	A	to where ?
11	18	78.894	79.643	B	interlaken .
11	19	79.868	81.830	A	interlaken .
11	20	80.512	81.740	B	it's under basel .
11	21	83.918	84.757	B	if you can .
11	22	86.030	87.004	A	no i can't .
11	23	87.007	89.898	B	okay then go to neuchatel , to left .
11	24	91.271	92.139	A	yeah .
11	25	91.780	93.757	B	okay , no
11	26	93.727	94.461	A	oh okay .
11	27	96.805	98.423	B	okay , i'm gonna
11	28	99.412	100.460	B	draw to there .
11	29	101.022	102.759	A	to , then .
11	30	104.662	106.324	B	now to there , there you go .
11	31	109.228	109.992	A	okay
11	32	111.115	114.336	B	go from interlaken to bern and then to luzern .
11	33	114.507	119.300	A	i got it a different way , i got it to bern to basel to neuchatel to interlaken .
11	34	121.327	122.136	A	and then
11	35	123.200	124.413	A	mount zermatt .
11	36	126.488	127.192	A	wait .
11	37	137.779	138.603	B	okay .
11	38	139.626	143.176	B	i'm gonna go , i'll do that , no .
11	39	144.368	145.102	B	there you go .
11	40	160.839	161.468	R	i see .
11	41	165.596	170.701	B	and then go to , zurich and gallen saint gallen .
11	42	170.042	170.851	A	wait .
11	43	172.133	181.116	R	guys do not hesitate to submit your solution . you can submit as many times you want .
11	44	180.505	182.542	A	i'm waiting for my friend .
11	45	185.768	188.928	B	okay now go from interlaken to neuchatel .
11	46	187.685	188.464	A	i'm done .
11	47	190.673	192.381	B	okay i'm just gonna submit too .
11	48	191.961	192.950	A	but wait what ?
11	49	193.174	193.774	B	i'm submiting .
11	50	194.193	195.301	A	wait i'm not .
11	51	195.650	199.050	A	can't even go to oh no you can't .
11	52	197.962	200.374	B	i did submit i don't know , i just did it .
11	53	201.502	203.464	A	and then here , here .
11	54	204.497	205.171	A	ahh
11	55	204.587	205.186	B	okay .
11	56	209.238	210.197	B	go there .
11	57	211.941	213.693	A	i'm going to on the thing .
