team_no	utterance_no	start	end	interlocutor	utterance
8	0	41.033	45.988	B	so , are we trying to make this shortest , or the less tight the little things ?
8	1	60.810	61.738	B	okay ready ?
8	2	62.690	63.942	B	so which one should we start ?
8	3	64.040	65.067	B	wait did you just do that ?
8	4	65.011	66.671	A	yes .
8	5	65.574	67.430	B	okay i'm gonna do something right .
8	6	70.992	71.892	B	i drag .
8	7	72.497	73.228	B	how do you do it ?
8	8	73.622	74.804	A	you drag it .
8	9	75.127	76.112	B	hold and drag .
8	10	76.464	77.125	A	yes .
8	11	76.775	78.759	B	it's not working for me .
8	12	81.150	82.487	B	wait how do you do it ?
8	13	82.719	84.786	I	so can you make one more ?
8	14	85.021	86.850	A	um like , wait what ?
8	15	87.638	93.391	A	so you hold it , so you you have to go to where and did it and hold it to somewhere .
8	16	93.630	97.107	I	yeah then release it now uh yeah .
8	17	95.630	96.966	A	and then you have it .
8	18	97.585	98.710	B	oh there we go .
8	19	98.950	100.750	B	i was at something else okay .
8	20	101.679	102.410	A	good .
8	21	105.325	106.591	B	okay i just made something .
8	22	108.349	109.066	A	oh wait .
8	23	110.937	112.625	B	so i think we are trying to make
8	24	114.499	115.526	B	oh what ?
8	25	115.905	117.720	B	we're trying to make the less
8	26	118.508	119.380	B	um
8	27	120.310	121.520	B	things used .
8	28	121.745	122.888	A	yeah probably .
8	29	122.350	124.826	B	why is mine this weird , why is mine here ?
8	30	126.783	129.245	B	oh there , i'm doomed .
8	31	129.470	132.087	B	how do i make it ?
8	32	131.271	138.940	I	if you want to see a bit more like revise the instructions just read the instructions from the i button to see why you are on that screen .
8	33	139.404	140.135	A	okay .
8	34	160.242	161.830	R	i see .
8	35	161.214	163.592	B	why did you do i see here ?
8	36	164.548	165.069	B	okay .
8	37	165.505	166.602	B	this does not
8	38	165.537	167.379	I	did you read the instructions ?
8	39	167.376	168.515	A	yes , but
8	40	168.143	170.210	I	did you understand why you are on that ?
8	41	170.374	171.401	A	um
8	42	170.402	171.485	B	yeah , kinda .
8	43	171.711	174.383	A	kinda , not really , why ?
8	44	175.495	176.507	A	oh , i'm back .
8	45	181.813	186.769	R	guys , do not hesitate to submit your solution .
8	46	187.569	188.146	B	no .
8	47	189.088	192.999	B	we are not submitting our answers right now , sorry .
8	48	192.943	194.940	A	no , we are not done .
8	49	195.505	197.010	B	oh , why i'm on this .
8	50	199.232	201.033	B	okay i'll tap .
8	51	203.440	204.833	A	no .
8	52	203.595	204.228	B	oh .
8	53	204.763	205.593	B	what happened ?
8	54	207.072	208.943	B	why is it not doing ?
8	55	208.071	210.181	A	because we already have 9 out of 10 .
8	56	214.668	216.385	B	oh my gosh i can't go .
8	57	217.076	219.398	I	i think you didn't read the instructions .
8	58	219.467	220.452	B	what am i supposed
8	59	222.112	222.843	B	here ?
8	60	222.203	223.671	I	at the very top .
8	61	223.631	224.320	B	here .
8	62	224.886	226.110	B	abstract view .
8	63	228.192	229.528	B	your friend's view .
8	64	229.753	232.688	I	yeah and then , what does the abstract view show you ?
8	65	233.143	234.508	B	interactive view .
8	66	234.201	235.893	I	no , like
8	67	235.607	236.001	A	look .
8	68	236.212	237.816	A	it says right here .
8	69	238.055	243.091	A	says like , the interactive view into the abstract view .
8	70	243.345	246.749	A	and then it has abstract view and then it says what it does .
8	71	245.357	246.693	B	oh yeah this
8	72	247.540	249.326	B	view you can not build
8	73	258.445	259.838	B	oh !
8	74	260.274	262.679	B	oh oops .
8	75	264.578	267.012	B	okay , now i get it , oh yeah i'm here .
8	76	268.378	268.983	B	okay .
8	77	269.391	270.094	A	wait what ?
8	78	270.755	272.908	B	so we need to i'm erasing these .
8	79	273.217	273.920	B	i'm sorry .
8	80	273.273	273.850	A	yeah .
8	81	274.147	275.244	A	yeah i'll erase it .
8	82	274.231	275.286	B	and we just start again .
8	83	275.807	277.143	A	um i don't know .
8	84	276.369	276.890	B	uh
8	85	277.636	280.379	A	so we will erase all of them entirely ?
8	86	279.661	280.266	B	yeah .
8	87	282.589	283.785	A	right now i want to erase .
8	88	284.911	287.372	B	i'm at the black right now so got to chill .
8	89	288.682	289.329	B	chill .
8	90	289.765	290.876	A	how do you erase ?
8	91	291.101	292.395	B	you just hold it .
8	92	293.017	295.113	B	and you get the like the little erase thingy .
8	93	297.012	299.431	B	wait i can't do anything until it stops ?
8	94	300.023	303.568	B	like when she oh so when she do something it stops for me ?
8	95	301.556	302.336	I	yes .
8	96	303.909	308.672	I	yeah but you see something right , you see something she doesn't see so you have to help each other .
8	97	310.337	312.335	B	oh , seriously ?
8	98	313.390	315.106	B	she sees not what i see ?
8	99	316.037	320.853	I	no it's so it means you guys didn't see the instructions or didn't hear them well .
8	100	323.577	325.926	B	wait it's not erasing for other .
8	101	323.619	327.605	I	you see you see different views at all times .
8	102	328.504	330.782	B	oh that explains everything .
8	103	332.780	333.990	A	it does .
8	104	335.607	337.746	B	wait so her mountains are not the same ?
8	105	342.868	347.738	I	okay i would still suggest you to read the instructions because everything is mentioned in the instructions .
8	106	347.709	348.806	B	okay .
8	107	348.074	349.200	A	okay .
8	108	349.622	352.136	I	so just yeah both of you take your time to read.
8	109	355.180	355.827	B	what ?
8	110	356.195	364.385	I	one of you will start with interactive view other with abstract view , so you both have these views but when one has one the other has the other .
8	111	365.081	369.983	A	oh , so like when i have this you have this when i have this you have this ?
8	112	365.145	366.577	B	oh .
8	113	369.336	371.816	B	so when i have the mountains you have the black .
8	114	371.559	372.361	A	exactly .
8	115	372.107	373.584	B	when you have the mountains i have the black .
8	116	372.361	373.792	A	oh , okay .
8	117	374.514	376.329	B	that's why we have to talk , okay .
8	118	376.638	377.679	B	now we get it .
8	119	377.482	385.094	A	i think i'm gonna put um , mount zermatt to the one above it .
8	120	385.179	386.320	B	mount zurich ?
8	121	387.671	388.619	A	no like
8	122	388.444	391.243	B	mount luzern to mount zurich ?
8	123	392.723	393.159	B	oh .
8	124	392.765	395.972	A	no mount zermatt to the one above it .
8	125	396.999	398.673	B	yeah , to mount luzern .
8	126	399.123	400.375	A	luzern .
8	127	400.361	401.782	B	luzern yeah okay do it .
8	128	401.247	401.979	A	yeah .
8	129	402.784	403.726	A	wait no .
8	130	405.921	406.512	A	okay .
8	131	406.470	408.748	B	we should do all the big things .
8	132	412.617	413.517	B	are you done ?
8	133	413.899	414.518	A	yeah .
8	134	414.743	415.250	B	okay .
8	135	417.022	418.204	B	not working for me so .
8	136	420.681	426.829	A	i'm gonna do mount zurich to mount davos .
8	137	426.196	427.011	B	mount
8	138	428.054	429.742	B	zurich where is zurich ?
8	139	431.121	437.101	A	it's the one above mount luzern , i don't know how to say it .
8	140	436.173	438.086	B	that's zurich , mount zurich .
8	141	438.353	439.647	A	it is ?
8	142	439.043	439.633	B	zurich .
8	143	439.844	440.491	B	i don't know .
8	144	440.633	441.927	B	that one right , this one .
8	145	442.124	442.800	B	the top one .
8	146	442.870	443.334	A	yeah .
8	147	443.517	444.713	B	okay , so do it .
8	148	444.052	445.655	A	to mount davos .
8	149	445.358	445.717	B	yeah .
8	150	446.277	447.683	A	because it's big .
8	151	449.625	450.638	A	now it's your turn .
8	152	450.834	453.085	B	okay , so i see , i see what you've done .
8	153	453.859	454.548	B	okay .
8	154	454.858	455.290	B	okay .
8	155	456.509	459.307	B	yeah i'm gonna erase , wait now i don't wanna do anything .
8	156	460.848	462.496	B	i'm gonna erase mount bern .
8	157	462.697	463.148	B	okay ?
8	158	463.610	464.428	A	which one ?
8	159	465.608	466.556	A	oh yeah yeah .
8	160	466.580	467.599	B	i can't erase .
8	161	468.358	470.848	A	yeah you just click on it and erase .
8	162	472.175	472.827	B	i doubled .
8	163	473.432	476.444	B	i have the erase thing but it is not erasing .
8	164	475.739	480.637	I	can you try to erase something that is at the end of the track , not something in the middle .
8	165	485.932	489.915	B	oh you have to erase that , so like that ?
8	166	487.295	490.250	I	so if you erase that you break it into two .
8	167	490.946	491.622	B	oh .
8	168	491.752	492.416	A	oh .
8	169	492.909	494.630	I	so you can not break .
8	170	494.390	494.929	A	oops
8	171	496.477	498.397	B	oh, okay it's your turn .
8	172	498.081	500.377	A	oh okay um which one should i do ?
8	173	499.334	501.586	B	wait erase mount bern .
8	174	502.654	503.911	B	to mount luzern .
8	175	503.816	504.456	A	okay .
8	176	504.752	508.463	B	i don't know why but it doesn't erase it's like wasting money kind of .
8	177	507.917	508.510	A	okay .
8	178	509.374	512.338	B	and now connect mount bern to mount zurich .
8	179	514.199	515.895	B	i don't want to really do anything .
8	180	516.191	517.135	A	exactly .
