team_no	utterance_no	start	end	interlocutor	utterance
47	0	40.321	42.448	B	um okay so .
47	1	41.430	42.628	A	okay so .
47	2	43.736	48.140	B	i'm going from mount montreux to mount interlaken .
47	3	48.709	50.836	A	to mount what , what wait mount ?
47	4	50.866	56.922	I	so maybe you would like to see the instruction sheet once both of you , the this i button .
47	5	55.120	56.558	R	i see .
47	6	56.922	59.108	I	ann , can you press this button ?
47	7	57.071	58.090	A	um
47	8	59.108	64.680	I	yeah , so at the top it tells you something , like your view and your friends' view .
47	9	64.419	65.648	B	oh that's cool .
47	10	66.426	71.579	I	so , in the white view you can build the roads , but in the black view you can not .
47	11	71.579	77.309	I	but you can see what your friends is doing , and how much money your friend is spending while building a road .
47	12	77.309	83.010	I	so you both will like alternate between these two views , and you have to build the roads together .
47	13	77.378	78.546	A	uh
47	14	82.725	83.804	A	okay .
47	15	83.010	84.298	I	okay .
47	16	85.062	87.638	A	i kind of get it if i have question can i ask you ?
47	17	87.998	94.567	I	uh yeah sure , uh and actually like when you guys build something together and you submit it the robot will give you feedback .
47	18	94.867	95.556	A	okay .
47	19	94.986	95.735	I	okay .
47	20	97.344	98.123	A	okay .
47	21	106.359	108.217	A	so where are you building ?
47	22	109.475	114.247	I	so in this view you can not build , you just see what bob will build .
47	23	113.288	113.857	A	um
47	24	116.314	120.598	I	and the it will be your turn to build , so first she builds and then you will build .
47	25	119.526	123.001	A	i go from mount zermatt to mount davos .
47	26	120.724	123.600	B	oh okay it's your turn then .
47	27	123.600	126.416	A	and now your turn you can .
47	28	125.277	129.311	I	oh no you you keep on doing until the screen doesn't change .
47	29	128.526	130.653	A	oh , um
47	30	133.139	135.625	A	um just
47	31	136.374	141.095	A	so we need to collect connect all of them together using the less the least money ?
47	32	141.544	142.353	I	yeah .
47	33	142.113	142.862	A	okay .
47	34	150.529	151.518	A	okay .
47	35	177.576	183.095	R	guys , do not hesitate to submit your solution .
47	36	183.095	187.431	R	you can submit it as many times you want .
47	37	186.563	187.285	B	three
47	38	187.799	188.255	B	two
47	39	188.750	189.263	A	one .
47	40	188.750	189.206	B	one .
47	41	189.929	193.616	I	it's the green check , ann , it's at the top of the screen .
47	42	191.429	194.016	A	oh green , green check oh wait .
47	43	195.747	201.647	R	you are not that far from the minimum , the difference is only 5 francs .
47	44	201.647	204.290	R	i am sure you can do it .
47	45	204.687	214.463	R	by the way you guys now also have a button on the bottom of the screen in the abstract view for comparing solutions .
47	46	216.135	216.990	A	okay .
47	47	217.181	220.186	I	it's that big green button , if you press that you see your previous solution .
47	48	220.357	221.289	B	oh okay .
47	49	221.479	222.164	A	okay .
47	50	223.628	225.188	A	i'll build first .
47	51	228.708	230.591	A	why are we 5 francs away ?
47	52	233.216	234.167	A	um
47	53	237.020	239.606	A	i think short distances will make less money .
47	54	281.203	283.257	A	okay , let's click it .
47	55	284.094	286.718	A	go , oh oh gosh , waiting for .
47	56	293.818	295.986	A	hello robot .
47	57	301.616	306.861	I	so you both have to submit , like , one of you has pressed the button but the other hasn't yet .
47	58	306.670	308.458	A	okay come on let's press it together .
47	59	308.192	309.447	B	i do that i already pressed it .
47	60	309.599	310.094	A	three .
47	61	310.094	310.855	B	two .
47	62	310.969	311.539	A	one .
47	63	311.692	312.300	A	go .
47	64	312.452	318.910	R	you are not that far from the minimum , the difference is only 16 francs .
47	65	317.397	320.821	A	16 oh gosh let's let's just start .
47	66	318.910	320.897	R	i am sure you can do it .
47	67	321.277	322.825	A	let's just do our you know .
47	68	321.836	324.384	B	i know how we should start , let's so
47	69	323.833	326.838	A	let's start from mount zermatt to mount davos .
47	70	331.927	333.639	A	wait mount what ?
47	71	333.430	334.704	B	mount montreux .
47	72	335.207	338.231	A	oh mount mount montreux , to
47	73	337.717	339.790	B	to mount neuchatel .
